2,0.973461,1.66499
3,0.955725,2.14588
4,0.941136,2.49589
5,0.932038,2.77659
6,0.925781,2.98942
7,0.916632,3.18035
8,0.911432,3.32084
9,0.904362,3.45556
10,0.8997,3.54632
11,0.898779,3.64439
12,0.888355,3.7495
13,0.885008,3.86299
14,0.885287,3.94653
15,0.874593,4.00474
16,0.878794,4.06449
17,0.870706,4.13871
18,0.861326,4.14049
19,0.871174,4.1564
20,0.857333,4.20577
21,0.850806,4.23685
22,0.854915,4.271
23,0.85367,4.29583
24,0.85262,4.3373
25,0.848332,4.33192
26,0.844148,4.38884
27,0.846633,4.44933
28,0.827928,4.47942
29,0.836981,4.47837
30,0.823539,4.45294
31,0.824723,4.4594
32,0.826522,4.48308
33,0.821161,4.51681
34,0.824068,4.5224
35,0.815951,4.52266
36,0.803488,4.55349
37,0.812135,4.532
38,0.823932,4.53789
39,0.808104,4.557
40,0.820681,4.56621
41,0.803833,4.57491
42,0.801774,4.59049
43,0.7931,4.61254
44,0.814223,4.63284
45,0.778495,4.64544
46,0.804764,4.6117
47,0.801257,4.6348
48,0.798595,4.64629
49,0.795901,4.66916
50,0.781292,4.66264
51,0.800241,4.64629
52,0.778584,4.73476
53,0.768218,4.73885
54,0.791512,4.7491
55,0.781452,4.70029
56,0.77828,4.79355
57,0.787246,4.70058
58,0.785496,4.81669
59,0.758883,4.7491
60,0.756493,4.76501
61,0.771865,4.72428
62,0.773494,4.79026
63,0.750779,4.75557
64,0.750572,4.71558
65,0.780343,4.84952
66,0.768264,4.8176
67,0.737752,4.70288
68,0.764975,4.85535
69,0.75818,4.80524
70,0.747234,4.75881
71,0.765163,4.81066
72,0.765089,4.81548
73,0.760788,4.74558
74,0.74944,4.76708
75,0.745314,4.84983
76,0.768704,4.7491
77,0.751784,4.69857
78,0.741588,4.79564
79,0.759366,4.78221
80,0.749225,4.74881
81,0.735774,4.77953
82,0.724709,4.67171
83,0.747825,4.75204
84,0.730354,4.80825
85,0.731401,4.8367
86,0.731603,4.81699
87,0.739476,4.85381
88,0.740906,4.82667
89,0.737379,4.78937
90,0.696535,4.87105
91,0.758461,4.82728
92,0.742685,4.75498
93,0.732419,4.73651
94,0.741696,4.79295
95,0.736292,4.79804
96,0.711108,4.80254
97,0.67725,4.80674
98,0.720745,4.76619
99,0.715524,4.83792
100,0.717577,4.88219
